Date,Time,Size,Price
"Saturday, October 10, 2020",1:45 PM EST,9,$300
"Friday, October 9, 2020",1:13 PM EST,10,$400
"Thursday, October 8, 2020",12:04 AM EST,10,$375
"Saturday, October 3, 2020",11:39 AM EST,10.5,$375
"Friday, October 2, 2020",10:44 AM EST,10,$350
"Wednesday, September 30, 2020",3:00 PM EST,11,$302
"Tuesday, September 29, 2020",12:10 PM EST,10.5,$350
"Wednesday, September 23, 2020",4:04 AM EST,11.5,$287
"Tuesday, September 22, 2020",4:00 PM EST,11,$330
"Saturday, September 19, 2020",8:06 AM EST,14,$260
"Friday, September 18, 2020",7:08 PM EST,12,$343
"Tuesday, September 15, 2020",12:52 PM EST,10,$395
"Monday, September 14, 2020",8:16 AM EST,14,$262
"Sunday, September 13, 2020",5:05 AM EST,10,$350
"Friday, September 11, 2020",10:36 PM EST,12,$345
"Friday, September 11, 2020",7:47 PM EST,12,$341
"Friday, September 11, 2020",2:13 PM EST,10,$385
"Thursday, September 10, 2020",1:24 PM EST,11,$350
"Wednesday, September 9, 2020",2:18 PM EST,10,$280
"Thursday, September 3, 2020",8:04 PM EST,10.5,$398
"Wednesday, September 2, 2020",4:21 PM EST,11,$360
"Wednesday, September 2, 2020",7:52 AM EST,8.5,$402
"Tuesday, September 1, 2020",10:29 PM EST,11,$358
"Tuesday, September 1, 2020",5:57 AM EST,12,$330
"Monday, August 31, 2020",6:29 AM EST,9.5,$370
"Sunday, August 30, 2020",4:16 AM EST,9,$410
"Thursday, August 27, 2020",11:49 AM EST,10.5,$350
"Wednesday, August 26, 2020",3:29 PM EST,8.5,$349
"Wednesday, August 26, 2020",2:38 PM EST,10.5,$400
"Wednesday, August 26, 2020",12:06 PM EST,9,$345
"Monday, August 24, 2020",12:03 PM EST,9.5,$350
"Friday, August 21, 2020",10:16 AM EST,11,$358
"Wednesday, August 19, 2020",7:59 PM EST,9.5,$350
"Wednesday, August 19, 2020",1:26 PM EST,12,$340
"Monday, August 17, 2020",1:13 PM EST,10.5,$340
"Monday, August 17, 2020",11:09 AM EST,10,$350
"Saturday, August 15, 2020",7:42 PM EST,9,$262
"Tuesday, August 11, 2020",10:21 PM EST,9.5,$320
"Tuesday, August 11, 2020",6:30 PM EST,9,$270
"Monday, August 10, 2020",9:20 PM EST,10,$380
"Sunday, August 9, 2020",9:36 PM EST,10,$350
"Sunday, August 9, 2020",12:09 PM EST,9.5,$345
"Thursday, August 6, 2020",3:20 PM EST,9,$325
"Wednesday, August 5, 2020",10:58 PM EST,9,$399
"Wednesday, August 5, 2020",9:17 PM EST,9,$395
"Wednesday, August 5, 2020",9:15 PM EST,13,$340
"Wednesday, August 5, 2020",5:35 PM EST,12,$400
"Wednesday, August 5, 2020",5:57 AM EST,11,$373
"Tuesday, August 4, 2020",11:11 PM EST,9.5,$340
"Friday, July 31, 2020",9:37 PM EST,9.5,$335
"Friday, July 31, 2020",7:59 PM EST,12,$375
"Thursday, July 30, 2020",12:39 AM EST,11,$375
"Thursday, July 30, 2020",1:02 AM EST,12,$374
"Wednesday, July 29, 2020",3:31 PM EST,9,$395
"Wednesday, July 29, 2020",12:10 PM EST,13,$427
"Monday, July 27, 2020",10:07 PM EST,12,$354
"Monday, July 27, 2020",9:22 PM EST,10.5,$398
"Monday, July 27, 2020",8:31 AM EST,10,$378
"Sunday, July 26, 2020",2:46 AM EST,8.5,$300
"Saturday, July 25, 2020",10:18 AM EST,13,$396
"Friday, July 24, 2020",5:49 PM EST,11,$378
"Friday, July 24, 2020",4:56 PM EST,11.5,$300
"Thursday, July 23, 2020",3:38 PM EST,11,$360
"Wednesday, July 22, 2020",10:42 PM EST,9.5,$338
"Wednesday, July 22, 2020",4:23 PM EST,13,$376
"Wednesday, July 22, 2020",11:05 AM EST,11,$310
"Tuesday, July 21, 2020",4:42 AM EST,11,$320
"Monday, July 20, 2020",10:57 PM EST,10.5,$343
"Monday, July 20, 2020",3:06 AM EST,10,$366
"Sunday, July 19, 2020",3:00 PM EST,13,$364
"Sunday, July 19, 2020",7:34 AM EST,12,$281
"Saturday, July 18, 2020",7:29 PM EST,10,$360
"Friday, July 17, 2020",12:26 PM EST,11,$350
"Thursday, July 16, 2020",2:27 PM EST,10,$335
"Thursday, July 16, 2020",1:55 PM EST,8,$425
"Wednesday, July 15, 2020",11:42 PM EST,11,$335
