Date,Time,Size,Price
"Sunday, May 9, 2021",4:45 PM EST,11.5,$245
"Sunday, May 9, 2021",4:44 PM EST,13,$244
"Sunday, May 9, 2021",4:44 PM EST,11.5,$240
"Sunday, May 9, 2021",4:44 PM EST,10.5,$244
"Sunday, May 9, 2021",4:41 PM EST,13,$240
"Sunday, May 9, 2021",4:37 PM EST,12,$248
"Sunday, May 9, 2021",4:34 PM EST,8.5,$245
"Sunday, May 9, 2021",4:34 PM EST,7,$244
"Sunday, May 9, 2021",4:30 PM EST,12,$248
"Sunday, May 9, 2021",4:29 PM EST,12,$234
"Sunday, May 9, 2021",4:29 PM EST,14,$248
"Sunday, May 9, 2021",4:28 PM EST,10.5,$245
"Sunday, May 9, 2021",4:28 PM EST,12,$248
"Sunday, May 9, 2021",4:26 PM EST,8,$230
"Sunday, May 9, 2021",4:26 PM EST,9.5,$245
"Sunday, May 9, 2021",4:25 PM EST,10.5,$245
"Sunday, May 9, 2021",4:23 PM EST,8.5,$245
"Sunday, May 9, 2021",4:23 PM EST,11.5,$245
"Sunday, May 9, 2021",4:22 PM EST,11,$242
"Sunday, May 9, 2021",4:21 PM EST,9.5,$244
"Sunday, May 9, 2021",4:19 PM EST,8.5,$245
"Sunday, May 9, 2021",4:16 PM EST,9,$244
"Sunday, May 9, 2021",4:16 PM EST,11,$242
"Sunday, May 9, 2021",4:15 PM EST,12,$247
"Sunday, May 9, 2021",4:11 PM EST,8.5,$241
"Sunday, May 9, 2021",4:09 PM EST,9,$223
"Sunday, May 9, 2021",4:08 PM EST,9,$235
"Sunday, May 9, 2021",4:05 PM EST,11.5,$244
"Sunday, May 9, 2021",3:59 PM EST,9,$245
"Sunday, May 9, 2021",3:58 PM EST,10,$243
"Sunday, May 9, 2021",3:57 PM EST,11.5,$243
"Sunday, May 9, 2021",3:56 PM EST,13,$240
"Sunday, May 9, 2021",3:54 PM EST,8.5,$245
"Sunday, May 9, 2021",3:51 PM EST,10,$242
"Sunday, May 9, 2021",3:50 PM EST,14,$235
"Sunday, May 9, 2021",3:50 PM EST,11,$243
"Sunday, May 9, 2021",3:49 PM EST,9,$225
"Sunday, May 9, 2021",3:47 PM EST,11.5,$231
"Sunday, May 9, 2021",3:47 PM EST,13,$245
"Sunday, May 9, 2021",3:45 PM EST,11,$242
"Sunday, May 9, 2021",3:44 PM EST,12,$248
"Sunday, May 9, 2021",3:44 PM EST,13,$240
"Sunday, May 9, 2021",3:44 PM EST,8,$243
"Sunday, May 9, 2021",3:43 PM EST,9.5,$244
"Sunday, May 9, 2021",3:42 PM EST,12,$257
"Sunday, May 9, 2021",3:41 PM EST,18,$249
"Sunday, May 9, 2021",3:41 PM EST,11,$242
"Sunday, May 9, 2021",3:39 PM EST,10,$243
"Sunday, May 9, 2021",3:39 PM EST,9.5,$244
"Sunday, May 9, 2021",3:39 PM EST,8,$240
"Sunday, May 9, 2021",3:36 PM EST,11,$242
"Sunday, May 9, 2021",3:36 PM EST,8,$240
"Sunday, May 9, 2021",3:36 PM EST,10,$243
"Sunday, May 9, 2021",3:36 PM EST,10,$243
"Sunday, May 9, 2021",3:35 PM EST,10.5,$245
"Sunday, May 9, 2021",3:35 PM EST,9.5,$244
"Sunday, May 9, 2021",3:33 PM EST,13,$237
"Sunday, May 9, 2021",3:28 PM EST,10,$231
"Sunday, May 9, 2021",3:27 PM EST,10.5,$245
"Sunday, May 9, 2021",3:26 PM EST,10.5,$244
"Sunday, May 9, 2021",3:25 PM EST,10,$240
"Sunday, May 9, 2021",3:25 PM EST,10.5,$242
"Sunday, May 9, 2021",3:23 PM EST,9,$238
"Sunday, May 9, 2021",3:23 PM EST,10.5,$241
"Sunday, May 9, 2021",3:23 PM EST,8.5,$239
"Sunday, May 9, 2021",3:22 PM EST,11,$240
"Sunday, May 9, 2021",3:22 PM EST,10,$240
"Sunday, May 9, 2021",3:20 PM EST,9.5,$243
"Sunday, May 9, 2021",3:20 PM EST,7,$263
"Sunday, May 9, 2021",3:20 PM EST,11,$239
"Sunday, May 9, 2021",3:16 PM EST,11,$238
"Sunday, May 9, 2021",3:16 PM EST,10,$240
"Sunday, May 9, 2021",3:16 PM EST,12,$230
"Sunday, May 9, 2021",3:15 PM EST,11.5,$243
"Sunday, May 9, 2021",3:15 PM EST,9,$238
"Sunday, May 9, 2021",3:14 PM EST,7,$263
"Sunday, May 9, 2021",3:14 PM EST,10,$240
"Sunday, May 9, 2021",3:13 PM EST,10.5,$232
"Sunday, May 9, 2021",3:13 PM EST,12,$248
"Sunday, May 9, 2021",3:13 PM EST,13,$240
"Sunday, May 9, 2021",3:13 PM EST,11,$229
"Sunday, May 9, 2021",3:12 PM EST,10.5,$240
